Experiment,LearningRate_A,LearningRate_B,Orth_steps_per_iter,Rel_Error_W,MSE_loss,Orth_loss_A,Orth_loss_B
InitialError-RandomInit_r10,0.001,0.001,20,1.0002300920559681,40176.43764099402,0.35404279162595825,0.9111506285639005
InitialError-OrthInit_r10,0.001,0.001,20,1.0008368155271021,40203.23612819997,7.022127089606286e-32,1.3635067748360135e-31
FactorizedGD-RandomInit_r10,0.001,0.001,NAN,0.01026529790196303,3.4042537580578007,NAN,NAN
FactorizedGD-OrthonormalInit_r10,0.001,0.001,NAN,0.008104812091040518,1.9833520134403755,NAN,NAN
FactorizedOrthGD-RandInit_r10,0.001,0.001,100,0.019500451329719844,9.486862714964442,4.272739779443387e-05,6.323849766158138e-05
FactorizedOrthGD-OrthonormalInit_r10,0.001,0.001,100,0.017355030060276614,6.935622951914073,0.00010292900664729174,0.00010706758892712283
FactorizedOrthGD-RandInit_r10,0.001,0.001,250,0.017038670046067045,7.149490116758919,1.9187134370524312e-06,2.9468587028223237e-06
FactorizedOrthGD-OrthonormalInit_r10,0.001,0.001,250,0.0173219586645421,6.909825821887628,3.966730398709841e-06,4.166014240037071e-06
